nirf_id,program_level,intake_year,first_year_intake,first_year_admitted,lateral_entry_year,lateral_entry_count,graduating_year,graduating_min_time,students_placed,median_salary,students_higher_studies
IR-E-C-46528,UG,2019-20,600,467,2020-21,53,2022-23,200,56,450000,50
IR-E-C-46528,UG,2020-21,660,279,2021-22,79,2023-24,260,8,360000,4
IR-E-C-46528,PG,2020-21,36,15,,,2021-22,0,0,0,0
IR-E-C-46528,PG,2021-22,36,6,,,2022-23,0,0,0,0
IR-E-C-46528,PG,2022-23,36,1,,,2023-24,0,0,0,0
IR-E-C-36980,UG,2017-18,480,414,2018-19,91,2020-21,399,153,250000,15
IR-E-C-36980,UG,2018-19,480,448,2019-20,48,2021-22,462,348,350000,8
IR-E-C-36980,UG,2019-20,480,437,2020-21,46,2022-23,483,299,360000,13
IR-E-C-36980,PG,2019-20,108,75,,,2020-21,71,6,360000,0
IR-E-C-36980,PG,2020-21,108,35,,,2021-22,31,6,420000,3
IR-E-C-36980,PG,2021-22,108,33,,,2022-23,29,7,450000,0
IR-E-C-36966,UG,2018-19,480,160,2019-20,8,2021-22,159,131,240000,0
IR-E-C-36966,UG,2019-20,450,148,2020-21,9,2022-23,146,144,360000,2
IR-E-C-36966,UG,2020-21,420,335,2021-22,154,2023-24,440,418,420000,12
IR-E-C-36966,PG,2020-21,45,18,,,2021-22,13,2,218000,0
IR-E-C-36966,PG,2021-22,45,34,,,2022-23,32,31,288000,0
IR-E-C-36966,PG,2022-23,72,43,,,2023-24,43,34,336000,5
IR-E-C-37028,UG,2018-19,1080,847,2019-20,180,2021-22,982,353,379000,42
IR-E-C-37028,UG,2019-20,1110,930,2020-21,173,2022-23,1016,452,401988,38
IR-E-C-37028,UG,2020-21,1110,799,2021-22,271,2023-24,991,815,450000,34
IR-E-C-37028,PG,2020-21,216,74,,,2021-22,73,67,570000,0
IR-E-C-37028,PG,2021-22,216,99,,,2022-23,95,74,570000,0
IR-E-C-37028,PG,2022-23,84,77,,,2023-24,76,57,600000,1
IR-E-C-37022,UG,2018-19,480,311,2019-20,6,2021-22,276,209,300000,30
IR-E-C-37022,UG,2019-20,480,394,2020-21,6,2022-23,392,304,310000,25
IR-E-C-37022,UG,2020-21,600,501,2021-22,16,2023-24,471,341,220000,33
IR-E-C-37022,PG,2020-21,96,37,,,2021-22,28,4,300000,0
IR-E-C-37022,PG,2021-22,24,23,,,2022-23,20,7,300000,2
IR-E-C-37022,PG,2022-23,42,15,,,2023-24,11,2,280000,1
IR-E-C-36944,UG,2018-19,870,684,2019-20,14,2021-22,560,487,476000,16
IR-E-C-36944,UG,2019-20,1050,843,2020-21,20,2022-23,766,680,485000,5
IR-E-C-36944,UG,2020-21,1050,778,2021-22,50,2023-24,795,766,700000,29
IR-E-C-36944,PG,2020-21,45,5,,,2021-22,4,1,300000,0
IR-E-C-36944,PG,2021-22,45,9,,,2022-23,4,2,306000,0
IR-E-C-36944,PG,2022-23,45,13,,,2023-24,12,10,600000,2
IR-E-C-37074,UG,2018-19,780,381,2019-20,18,2021-22,242,203,280000,3
IR-E-C-37074,UG,2019-20,660,319,2020-21,12,2022-23,197,177,310000,9
IR-E-C-37074,UG,2020-21,720,257,2021-22,29,2023-24,149,128,350000,10
IR-E-C-37074,PG,2020-21,90,0,,,2021-22,0,0,0,0
IR-E-C-37074,PG,2021-22,90,22,,,2022-23,7,7,270000,0
IR-E-C-37074,PG,2022-23,90,3,,,2023-24,2,2,350000,0
IR-E-C-37068,UG,2018-19,720,561,2019-20,15,2021-22,430,321,235000,19
IR-E-C-37068,UG,2019-20,600,225,2020-21,2,2022-23,138,117,144000,20
IR-E-C-37068,UG,2020-21,480,243,2021-22,2,2023-24,225,212,400000,6
IR-E-C-37068,PG,2020-21,72,19,,,2021-22,16,0,0,0
IR-E-C-37068,PG,2021-22,72,40,,,2022-23,30,0,0,0
IR-E-C-37068,PG,2022-23,72,46,,,2023-24,45,0,0,0
IR-E-C-37006,UG,2018-19,360,169,2019-20,26,2021-22,171,154,180000,6
IR-E-C-37006,UG,2019-20,360,149,2020-21,30,2022-23,143,137,255632,6
IR-E-C-37006,UG,2020-21,360,131,2021-22,28,2023-24,93,90,231335,3
IR-E-C-37004,UG,2018-19,780,516,2019-20,17,2021-22,387,371,275000,16
IR-E-C-37004,UG,2019-20,720,462,2020-21,38,2022-23,365,351,275000,14
IR-E-C-37004,UG,2020-21,720,475,2021-22,36,2023-24,371,313,375000,8
IR-E-C-37004,PG,2020-21,66,9,,,2021-22,8,8,370000,0
IR-E-C-37004,PG,2021-22,66,47,,,2022-23,34,34,380000,0
