nirf_id,academic_year,library,lab_equipment_software,engineering_workshops,studios,other_capital_assets
IR-E-C-25062,2024-25,64531,422996,,,2498305
IR-E-C-25062,2023-24,163001,114188,,,1929123
IR-E-C-25062,2022-23,289200,563500,,,3283410
IR-E-C-25038,2023-24,572917,951130,,,341526
IR-E-C-25038,2022-23,291214,446317,,,6288000
IR-E-C-25038,2021-22,288335,6507587,,,2223818
IR-E-C-25024,2023-24,1270006,3083231,,,5286216
IR-E-C-25024,2022-23,562074,2821459,,,1490949
IR-E-C-25024,2021-22,937520,601401,,,4396295
IR-E-C-27035,2024-25,88562,10000,,,10000
IR-E-C-27035,2023-24,30961,581328,,,1196851
IR-E-C-27035,2022-23,,1018524,,,
IR-E-C-48273,2023-24,384621,9088174,,,550000
IR-E-C-48273,2022-23,523550,6113673,,,
IR-E-C-48273,2021-22,439618,4427695,,,
IR-E-C-60622,2023-24,764258,739100,,,11142941
IR-E-C-60622,2022-23,988749,377467,,,4512754
IR-E-C-60622,2021-22,605981,467146,,,1468961
IR-E-C-49144,2023-24,12078607,16318012,,,25581758
IR-E-C-49144,2022-23,6243321,16161304,,,19230881
IR-E-C-49144,2021-22,779876,5768625,,,4335370
IR-E-C-27074,2023-24,93570,1102670,,,482000
IR-E-C-27074,2022-23,84960,471342,,,713181
IR-E-C-27074,2021-22,118320,17834,,,1305856
IR-E-C-27064,2022-23,2158382,7769525,,,623045
IR-E-C-27064,2021-22,2625488,2211149,,,66400
IR-E-C-27064,2020-21,1202714,2814070,,,234700
IR-E-C-27071,2023-24,457800,1890600,,,956100
IR-E-C-27071,2022-23,365000,1506000,,,700000
IR-E-C-27071,2021-22,268364,1200000,,,429600
IR-E-C-16620,2023-24,4557244,40446029,,,32825000
IR-E-C-16620,2022-23,3987323,48924525,,,5600338
IR-E-C-16620,2021-22,4685895,21573134,,,601860
IR-E-C-27061,2023-24,3075608,20686787,,,33113866
IR-E-C-27061,2022-23,639905,402500,,,42447451
IR-E-C-27061,2021-22,492089,442482,,,735313
IR-E-C-27093,2023-24,39170,59702,,,
IR-E-C-27093,2022-23,19015,,,,
IR-E-C-27093,2021-22,,,,,
IR-E-C-27038,2023-24,2091838,997216,,,1051790
IR-E-C-27038,2022-23,1962680,,,,1532822
IR-E-C-27038,2021-22,2084990,,,,
IR-E-C-16626,2023-24,14986024,52633418,,,435140855
IR-E-C-16626,2022-23,13547680,49105655,,,39370620
IR-E-C-16626,2021-22,11240022,47691200,,,304172290
IR-E-C-27091,2023-24,9997715,11015519,,,183079804
IR-E-C-27091,2022-23,972995,10382173,,,33994525
IR-E-C-27091,2021-22,813866,2683810,,,2656105
IR-E-C-27075,2024-25,12266126,28106018,,,4589272
IR-E-C-27075,2023-24,9827929,5540204,,,4549167
IR-E-C-27075,2022-23,8696876,2952061,,,5595140
IR-E-C-27058,2023-24,5490846,18650079,,,62662174
IR-E-C-27058,2022-23,5450197,24521538,,,63517715
IR-E-C-27058,2021-22,4470860,15273259,,,58452558
IR-E-C-27082,2023-24,1594416,10128590,,,11968350
IR-E-C-27082,2022-23,1186170,8882950,,,9128200
IR-E-C-27082,2021-22,1163337,3407456,,,9020019
IR-E-C-6580,2023-24,362621,440730,,,2510406
IR-E-C-6580,2022-23,626849,1742634,,,2345298
IR-E-C-6580,2021-22,436850,,,,383347
IR-E-C-27095,2023-24,,,,,9686468
IR-E-C-27095,2022-23,,,,,8124597
IR-E-C-27095,2021-22,,,,,9378182
IR-E-C-27077,2023-24,2099570,8669295,,,16928340
IR-E-C-27077,2022-23,1672874,5872728,,,11047661
IR-E-C-27077,2021-22,1604315,5789081,,,18425620
IR-E-C-27084,2023-24,175110,1383602,,,46000
IR-E-C-27084,2022-23,152138,357779,,,
IR-E-C-27084,2021-22,24000,181350,,,
IR-E-C-27032,2023-24,150000,120000,,,758456
IR-E-C-27032,2022-23,144385,120296,,,733729
IR-E-C-27032,2021-22,73808,131831,,,138136
IR-E-C-16590,2024-25,3561607,81937195,,,26962203
IR-E-C-16590,2023-24,3251557,77680964,,,28065418
IR-E-C-16590,2022-23,1365584,75127088,,,25375475
IR-E-C-27087,2022-23,125000,2100000,,,4300000
IR-E-C-27087,2021-22,850000,2400000,,,4600000
IR-E-C-27087,2020-21,350000,2000000,,,4700000
IR-E-C-27051,2023-24,10200,1333727,,,830310
IR-E-C-27051,2022-23,34867,411265,,,444183
IR-E-C-27051,2021-22,101026,222325,,,1236201
IR-E-C-26794,2023-24,3355946,34182728,,,1042341
IR-E-C-26794,2022-23,3022365,34717428,,,4213344
IR-E-C-26794,2021-22,2918141,38794000,,,2371689
IR-E-C-51677,2023-24,44182,3784421,,,169170
IR-E-C-51677,2022-23,17306,4068019,,,
IR-E-C-51677,2021-22,12843,30789278,,,
IR-E-C-16491,2022-23,265500,277740,,,511034
IR-E-C-16491,2021-22,,26460,,,953629
IR-E-C-16491,2020-21,,185220,,,
IR-E-C-45320,2023-24,366290,422963,,,1860927
IR-E-C-45320,2022-23,430000,519578,,,1593000
IR-E-C-45320,2021-22,275650,281640,,,1127475
IR-E-C-49137,2024-25,10752,118500,,,9460224
IR-E-C-49137,2023-24,91620,346800,,,1418993
IR-E-C-49137,2022-23,43950,1134848,,,756862
IR-E-C-26811,2023-24,1718673,1774459,,,5940042
IR-E-C-26811,2022-23,1791420,252136,,,18835050
IR-E-C-26811,2021-22,1348388,1292918,,,7648380
IR-E-C-56319,2024-25,905457,838475,,,4974006
IR-E-C-56319,2023-24,799356,195090,,,5954944
IR-E-C-56319,2022-23,280205,5939999,,,342189
IR-E-C-26789,2023-24,149840,2166099,,,20535386
IR-E-C-26789,2022-23,608472,16899168,,,7003575
IR-E-C-26789,2021-22,193080,10348831,,,6164900
IR-E-C-26785,2022-23,853519,2022792,,,6449223
IR-E-C-26785,2021-22,701722,1189732,,,1163498
IR-E-C-26785,2020-21,176906,2203585,,,60500
IR-E-C-26795,2022-23,1004359,5763743,,,50475263
IR-E-C-26795,2021-22,460000,51194,,,1720000
IR-E-C-26795,2020-21,2732196,963530,,,7463661
IR-E-C-26783,2023-24,2247850,6134735,,,52804531
IR-E-C-26783,2022-23,1929127,20072511,,,40246050
IR-E-C-26783,2021-22,1590724,3379358,,,10651080
IR-E-C-16572,2023-24,5432703,16151466,,,57255045
IR-E-C-16572,2022-23,4443768,18713436,,,141456967
IR-E-C-16572,2021-22,4217616,18470803,,,75639284
IR-E-C-26814,2023-24,64472,288104,,,166055
IR-E-C-26814,2022-23,111402,1406665,,,131843
IR-E-C-26814,2021-22,415113,180000,,,142568
IR-E-C-26808,2023-24,410000,334500,,,9199199
IR-E-C-26808,2022-23,410000,334500,,,9199199
IR-E-C-26808,2021-22,335750,214500,,,664914
IR-E-C-26807,2022-23,808913,3326475,,,
IR-E-C-26807,2021-22,1528585,435549,,,
IR-E-C-26807,2020-21,1364808,388883,,,
IR-E-C-26784,2023-24,148784,203389,,,2302568
IR-E-C-26784,2022-23,94916,81325,,,2941120
IR-E-C-26784,2021-22,32510,533145,,,4159765
IR-E-C-26781,2023-24,953191,972650,,,1283000
IR-E-C-26781,2022-23,961332,14296331,,,53666340
IR-E-C-26781,2021-22,953150,7007690,,,11246191
IR-E-C-16594,2022-23,33570,53500,,,603068
IR-E-C-16594,2021-22,3402440,12886,,,454123
IR-E-C-16594,2020-21,32124,66423,,,491327
IR-E-C-26797,2022-23,27140,,,,
IR-E-C-26797,2021-22,500000,85000,,,482990
IR-E-C-26797,2020-21,500000,,,,482990
IR-E-C-16518,2023-24,20000,770100,,,3051565
IR-E-C-16518,2022-23,71832,910334,,,13023054
IR-E-C-16518,2021-22,195413,,,,
IR-E-C-16550,2023-24,1596693,2666475,,,5071246
IR-E-C-16550,2022-23,1511636,5120291,,,11204000
IR-E-C-16550,2021-22,818569,,,,1785130
IR-E-C-16465,2024-25,826533,968877,,,4857778
IR-E-C-16465,2023-24,709329,1428353,,,3643926
IR-E-C-16465,2022-23,268325,333090,,,11170819
IR-E-C-16619,2024-25,570000,2520940,,,23692570
