id,counselling_code,branch,year,oc,bc,bcm,mbc,sc,sca,st
61,1110,INFORMATION TECHNOLOGY,2021,"46,673","57,866","66,915","64,089","118,837","54,083",—
62,1110,MECHANICAL ENGINEERING,2021,"121,782","135,822",—,—,—,—,—
63,1110,Mechatronics Engineering,2021,"114,202","133,602*",—,—,—,—,—
64,1112,Artificial Intelligence and Machine Learning,2021,"17,085","22,480","25,234","31,428","73,631",—,—
65,1112,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,"18,420","22,148","43,560","22,438","78,160",—,—
66,1112,COMPUTER SCIENCE AND ENGINEERING,2021,"12,396","14,728","23,057","14,590","55,383","115,496",—
67,1112,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"20,987","24,612","37,597","39,318","79,976","119,305",—
68,1112,INFORMATION TECHNOLOGY,2021,"15,022","17,751","25,701","15,825","61,701","124,334",—
69,1113,Artificial Intelligence and Data Science,2021,"8,995","10,741","14,769","25,791","53,466","73,762",—
70,1113,CIVIL ENGINEERING,2021,"35,870","41,193","49,576","57,926","42,281",—,—
71,1113,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,"13,576","15,527","14,425","13,772","59,586","97,386",—
72,1113,COMPUTER SCIENCE AND DESIGN,2021,"16,126","19,061","17,928","19,122","64,337",—,—
73,1113,COMPUTER SCIENCE AND ENGINEERING,2021,"5,395","8,347","10,134","7,244","42,423","91,719","53,994"
74,1113,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"14,957","21,991","32,740","30,845","68,415",—,—
75,1113,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"10,855","13,983","19,227","17,081","56,510","111,504",—
76,1113,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,"22,844","24,783",—,—,"73,690",—,—
77,1113,INFORMATION TECHNOLOGY,2021,"7,791","9,142","16,928",—,"44,796",—,—
78,1113,MECHANICAL ENGINEERING,2021,"31,544","43,014","33,630","46,638","100,876",—,—
79,1114,CIVIL ENGINEERING,2021,"135,472*",—,—,—,—,—,—
80,1114,COMPUTER SCIENCE AND ENGINEERING,2021,"32,055","47,335","58,708","41,857","93,912","48,324*",—
81,1114,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"82,865","107,484","114,703*","91,040","130,363*",—,—
82,1114,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"52,823","60,952","71,594","67,977","124,291","118,174*",—
83,1114,INFORMATION TECHNOLOGY,2021,"37,234","48,538","54,208","37,824","90,508",—,—
84,1114,MECHANICAL ENGINEERING,2021,"105,286","123,807",—,—,"118,312*",—,—
85,1115,Artificial Intelligence and Data Science,2021,"81,832","107,530","110,561",—,"129,357","97,263*","124,813"
86,1115,COMPUTER SCIENCE AND ENGINEERING,2021,"51,624","82,071","71,799","57,650","134,062","123,753",—
87,1115,MECHANICAL ENGINEERING,2021,"131,277",—,—,—,—,—,—
88,1116,CIVIL ENGINEERING,2021,"54,071*",—,—,—,—,—,—
89,1116,COMPUTER SCIENCE AND ENGINEERING,2021,"32,513","44,319","94,949","78,047","105,729",—,—
90,1116,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"127,939*",—,—,—,—,—,—
91,1116,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"93,747","136,695*","125,873","105,878","136,776*",—,—
92,1116,MECHANICAL ENGINEERING,2021,"127,237*",—,—,—,—,—,—
93,1118,Artificial Intelligence and Data Science,2021,"27,941","36,104","38,127","35,109","59,835",—,—
94,1118,BIO MEDICAL ENGINEERING,2021,"26,483","37,725","37,297","38,868","65,991","88,310",—
95,1118,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,"33,604","40,194","37,350","33,705","94,941",—,—
96,1118,COMPUTER SCIENCE AND ENGINEERING,2021,"23,989","30,567","41,620","27,235","70,969","135,913",—
97,1118,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"46,238","57,157","63,015",—,"123,329",—,—
98,1118,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"36,145","44,516","60,479","51,537","71,130","55,616",—
99,1118,INFORMATION TECHNOLOGY,2021,"30,458","35,617","47,993","32,201","80,828",—,—
100,1118,MECHANICAL ENGINEERING,2021,"62,204","85,235",—,"75,100","105,254","101,754",—
101,1120,AUTOMOBILE ENGINEERING,2021,"77,145","91,686","115,504",—,"128,698",—,—
102,1120,Artificial Intelligence and Data Science,2021,"22,428","28,717","35,435","34,942","82,858","94,100*",—
103,1120,CIVIL ENGINEERING,2021,"98,527","121,148","108,017","114,561","130,942*",—,"118,869"
104,1120,COMPUTER SCIENCE AND ENGINEERING,2021,"16,306","21,275","28,130","24,927","75,025","126,653","63,293"
105,1120,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"42,495","54,015","62,899","54,985","99,159",—,—
106,1120,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"30,585","37,991","61,995","50,819","97,293","124,475",—
107,1120,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,"42,672","55,906","68,861",—,"113,430",—,—
108,1120,INFORMATION TECHNOLOGY,2021,"21,636","22,996","30,991","22,691","77,584","135,532",—
109,1120,MECHANICAL ENGINEERING,2021,"69,945","90,607","112,311","86,969","135,365*","120,463*",—
110,1122,Artificial Intelligence and Data Science,2021,"30,151","38,104","53,487","44,035","80,703","63,727",—
111,1122,BIO TECHNOLOGY,2021,"32,244","47,280","69,682","33,851","88,618","127,748",—
112,1122,CHEMICAL ENGINEERING,2021,"66,171","88,960","108,732","82,130","124,952",—,—
113,1122,CIVIL ENGINEERING,2021,"97,738","124,336",—,"120,498","132,292",—,—
114,1122,COMPUTER SCIENCE AND ENGINEERING,2021,"28,786","37,895","44,360","37,222","85,656",—,—
115,1122,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"44,666","54,681","73,623","57,030","107,550","132,848*",—
116,1122,INFORMATION TECHNOLOGY,2021,"32,668","39,139","41,138",—,"89,197","80,888",—
117,1122,MECHANICAL ENGINEERING,2021,"84,380","97,561",—,"93,818","131,328*","134,810",—
118,1123,AERONAUTICAL ENGINEERING,2021,"96,875","98,243*","99,633",—,"126,294*",—,—
119,1123,COMPUTER SCIENCE AND ENGINEERING,2021,"99,087","119,258*","125,912",—,"129,158",—,—
120,1123,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"124,654","135,257*",—,—,—,—,—
121,1123,INFORMATION TECHNOLOGY,2021,"91,625","107,037*",—,"113,106","129,766*",—,—
122,1124,MARINE ENGINEERING,2021,"76,463","116,116",—,—,"125,914*",—,—
123,1124,MECHANICAL ENGINEERING,2021,"135,757*",—,—,—,—,—,—
124,1125,AERONAUTICAL ENGINEERING,2021,"125,503*",—,—,—,—,—,—
125,1125,CIVIL ENGINEERING,2021,—,—,—,—,—,—,—
126,1125,COMPUTER SCIENCE AND ENGINEERING,2021,"115,322","127,213*",—,"125,816","134,552*",—,—
127,1125,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,—,—,—,—,—,—,—
128,1125,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,—,—,—,—,—,—,—
129,1125,MECHANICAL ENGINEERING,2021,"130,767*",—,—,—,—,—,—
130,1126,AGRICULTURE ENGINEERING,2021,"120,265",—,—,—,"135,895*",—,—
131,1126,Artificial Intelligence and Data Science,2021,"66,349","108,358",—,—,"105,640",—,"131,649"
132,1126,BIO MEDICAL ENGINEERING,2021,"76,958","133,216",—,—,"132,683",—,—
133,1126,COMPUTER SCIENCE AND ENGINEERING,2021,"75,695","118,412","122,137","115,070","113,824",—,—
134,1126,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"116,407","132,056*",—,"121,811","130,886",—,—
135,1126,ROBOTICS AND AUTOMATION,2021,"114,928","120,920*",—,—,"121,520",—,—
136,1127,AERONAUTICAL ENGINEERING,2021,"131,289*",—,—,—,—,—,—
137,1127,BIO TECHNOLOGY,2021,"84,691","132,789*","101,331","84,791","127,406*",—,—
138,1127,CHEMICAL ENGINEERING,2021,"115,311*",—,—,—,—,—,—
139,1127,CIVIL ENGINEERING,2021,"130,242*",—,—,—,—,—,—
140,1127,COMPUTER SCIENCE AND ENGINEERING,2021,"59,600","70,431","72,619",—,"107,201",—,—
141,1127,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"117,698*",—,—,—,—,—,—
142,1127,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"100,797","135,501*","116,802","115,528","124,063*",—,—
143,1127,INFORMATION TECHNOLOGY,2021,"59,730","81,898","65,976",—,"77,449",—,—
144,1127,MECHANICAL ENGINEERING,2021,"134,203*",—,—,—,—,—,—
145,1128,Artificial Intelligence and Data Science,2021,"22,610","26,889","33,399","22,816","83,469",—,—
146,1128,COMPUTER SCIENCE AND ENGINEERING,2021,"17,141","21,598","35,728","33,429","76,548","103,441*","108,988"
147,1128,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"30,176","36,477","57,116","37,593","107,084","114,342",—
148,1128,MECHANICAL ENGINEERING,2021,"43,190","49,430",—,"53,439","123,040",—,—
149,1133,CIVIL ENGINEERING,2021,—,—,—,—,—,—,—
150,1133,COMPUTER SCIENCE AND ENGINEERING,2021,"109,135","135,837*",—,—,"130,928",—,—
151,1133,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"132,035*",—,—,—,—,—,—
