id,counselling_code,branch,year,allotted,available,fill_rate
567,1414,COMPUTER SCIENCE AND ENGINEERING,2021,26,27,0.963
568,1414,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,14,15,0.9333
569,1414,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,54,57,0.9474
570,1414,INFORMATION TECHNOLOGY,2021,28,29,0.9655
571,1414,MECHANICAL ENGINEERING,2021,24,28,0.8571
572,1415,CIVIL ENGINEERING,2021,0,28,0.0
573,1415,COMPUTER SCIENCE AND ENGINEERING,2021,0,14,0.0
574,1415,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,0,28,0.0
575,1415,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,0,16,0.0
576,1415,MECHANICAL ENGINEERING,2021,0,29,0.0
577,1416,BIO MEDICAL ENGINEERING,2021,13,35,0.3714
578,1416,COMPUTER SCIENCE AND ENGINEERING,2021,25,30,0.8333
579,1416,MECHANICAL ENGINEERING,2021,0,28,0.0
580,1419,Artificial Intelligence and Data Science,2021,55,57,0.9649
581,1419,CIVIL ENGINEERING,2021,30,31,0.9677
582,1419,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,28,29,0.9655
583,1419,COMPUTER SCIENCE AND ENGINEERING,2021,86,86,1.0
584,1419,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,62,64,0.9688
585,1419,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,108,115,0.9391
586,1419,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,45,48,0.9375
587,1419,INFORMATION TECHNOLOGY,2021,83,85,0.9765
588,1419,INSTRUMENTATION AND CONTROL ENGINEERING,2021,13,13,1.0
589,1419,M.Tech. Computer Science and Engineering (Integrated 5 years),2021,27,28,0.9643
590,1419,MECHANICAL AND AUTOMATION ENGINEERING,2021,27,29,0.931
591,1419,MECHANICAL ENGINEERING,2021,60,64,0.9375
592,1420,AERONAUTICAL ENGINEERING,2021,10,14,0.7143
593,1420,COMPUTER SCIENCE AND ENGINEERING,2021,26,27,0.963
594,1420,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,28,29,0.9655
595,1420,INFORMATION TECHNOLOGY,2021,26,28,0.9286
596,1420,MECHANICAL ENGINEERING,2021,16,19,0.8421
597,1421,CIVIL ENGINEERING,2021,6,90,0.0667
598,1421,COMPUTER SCIENCE AND ENGINEERING,2021,43,44,0.9773
599,1421,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,22,44,0.5
600,1421,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,27,44,0.6136
601,1421,MECHANICAL ENGINEERING,2021,44,89,0.4944
602,1422,AGRICULTURE ENGINEERING,2021,36,37,0.973
603,1422,Artificial Intelligence and Data Science,2021,21,21,1.0
604,1422,CIVIL ENGINEERING,2021,22,22,1.0
605,1422,COMPUTER SCIENCE AND ENGINEERING,2021,66,66,1.0
606,1422,Cyber Security,2021,22,23,0.9565
607,1422,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,42,44,0.9545
608,1422,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,116,118,0.9831
609,1422,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,23,23,1.0
610,1422,INFORMATION TECHNOLOGY,2021,42,44,0.9545
611,1422,MECHANICAL ENGINEERING,2021,35,36,0.9722
612,1422,MEDICAL ELECTRONICS ENGINEERING,2021,22,23,0.9565
613,1423,CIVIL ENGINEERING,2021,0,11,0.0
614,1423,COMPUTER SCIENCE AND ENGINEERING,2021,3,11,0.2727
615,1423,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,0,12,0.0
616,1423,MECHANICAL ENGINEERING,2021,0,11,0.0
617,1424,Artificial Intelligence and Data Science,2021,21,28,0.75
618,1424,CIVIL ENGINEERING,2021,0,22,0.0
619,1424,COMPUTER SCIENCE AND ENGINEERING,2021,50,59,0.8475
620,1424,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,11,22,0.5
621,1424,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,29,37,0.7838
622,1424,MECHANICAL ENGINEERING,2021,11,22,0.5
623,1424,PETROLEUM ENGINEERING,2021,21,34,0.6176
624,1424,ROBOTICS AND AUTOMATION,2021,21,38,0.5526
625,1426,COMPUTER SCIENCE AND ENGINEERING,2021,27,66,0.4091
626,1426,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,1,22,0.0455
627,1426,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,3,45,0.0667
628,1426,INFORMATION TECHNOLOGY,2021,20,44,0.4545
629,1426,MECHANICAL ENGINEERING,2021,0,45,0.0
630,1427,COMPUTER SCIENCE AND ENGINEERING,2021,20,27,0.7407
631,1427,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,0,15,0.0
632,1427,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,4,28,0.1429
633,1427,FASHION TECHNOLOGY,2021,0,29,0.0
634,1427,INFORMATION TECHNOLOGY,2021,10,28,0.3571
635,1430,CIVIL ENGINEERING,2021,6,46,0.1304
636,1430,COMPUTER SCIENCE AND ENGINEERING,2021,27,44,0.6136
637,1430,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,18,45,0.4
638,1430,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,29,44,0.6591
639,1430,MECHANICAL ENGINEERING,2021,20,45,0.4444
640,1431,CIVIL ENGINEERING,2021,2,14,0.1429
641,1431,COMPUTER SCIENCE AND ENGINEERING,2021,29,29,1.0
642,1431,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,12,22,0.5455
643,1431,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,34,45,0.7556
644,1431,INFORMATION TECHNOLOGY,2021,28,29,0.9655
645,1431,MECHANICAL ENGINEERING,2021,18,28,0.6429
646,1432,Artificial Intelligence and Data Science,2021,64,65,0.9846
647,1432,COMPUTER AND COMMUNICATION ENGINEERING,2021,20,21,0.9524
648,1432,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,21,22,0.9545
649,1432,COMPUTER SCIENCE AND ENGINEERING,2021,64,65,0.9846
650,1432,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,60,62,0.9677
651,1432,MECHANICAL ENGINEERING,2021,23,23,1.0
652,1434,AERONAUTICAL ENGINEERING,2021,3,35,0.0857
653,1434,AUTOMOBILE ENGINEERING,2021,1,35,0.0286
654,1434,CIVIL ENGINEERING,2021,1,36,0.0278
655,1434,COMPUTER SCIENCE AND ENGINEERING,2021,24,39,0.6154
656,1434,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,7,36,0.1944
657,1434,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,5,34,0.1471
658,1434,MECHANICAL ENGINEERING,2021,6,71,0.0845
659,1435,CIVIL ENGINEERING,2021,0,23,0.0
660,1435,COMPUTER SCIENCE AND ENGINEERING,2021,5,22,0.2273
661,1435,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,1,23,0.0435
662,1435,MECHANICAL ENGINEERING,2021,0,22,0.0
663,1436,CIVIL ENGINEERING,2021,3,22,0.1364
664,1436,COMPUTER SCIENCE AND ENGINEERING,2021,15,21,0.7143
665,1436,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,6,23,0.2609
666,1436,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,11,46,0.2391
667,1436,MECHANICAL ENGINEERING,2021,6,45,0.1333
668,1437,CIVIL ENGINEERING,2021,0,16,0.0
669,1437,COMPUTER SCIENCE AND ENGINEERING,2021,13,38,0.3421
670,1437,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,1,16,0.0625
671,1437,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,5,31,0.1613
672,1437,INFORMATION TECHNOLOGY,2021,13,37,0.3514
673,1437,MECHANICAL ENGINEERING,2021,6,33,0.1818
674,1438,CIVIL ENGINEERING,2021,0,15,0.0
675,1438,COMPUTER SCIENCE AND ENGINEERING,2021,4,18,0.2222
676,1438,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,0,15,0.0
677,1438,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,0,21,0.0
678,1438,MECHANICAL ENGINEERING,2021,0,29,0.0
679,1441,CIVIL ENGINEERING,2021,8,37,0.2162
680,1441,COMPUTER SCIENCE AND ENGINEERING,2021,23,44,0.5227
681,1441,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,20,45,0.4444
682,1441,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,18,45,0.4
683,1441,MECHANICAL ENGINEERING,2021,24,74,0.3243
684,1442,Artificial Intelligence and Data Science,2021,25,26,0.9615
685,1442,BIO MEDICAL ENGINEERING,2021,30,30,1.0
686,1442,COMPUTER SCIENCE AND ENGINEERING,2021,27,29,0.931
687,1444,CIVIL ENGINEERING,2021,0,33,0.0
688,1444,COMPUTER SCIENCE AND ENGINEERING,2021,8,43,0.186
689,1444,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,3,57,0.0526
690,1444,MECHANICAL ENGINEERING,2021,3,41,0.0732
691,1445,CIVIL ENGINEERING,2021,0,32,0.0
692,1445,COMPUTER SCIENCE AND ENGINEERING,2021,10,27,0.3704
693,1445,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,0,30,0.0
694,1445,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,0,34,0.0
695,1445,MECHANICAL ENGINEERING,2021,0,75,0.0
696,1447,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,0,14,0.0
697,1447,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,3,13,0.2308
698,1447,INDUSTRIAL ENGINEERING,2021,0,11,0.0
699,1447,INFORMATION TECHNOLOGY,2021,12,14,0.8571
700,1447,MECHANICAL ENGINEERING,2021,1,15,0.0667
701,1449,AGRICULTURE ENGINEERING,2021,2,29,0.069
702,1449,CIVIL ENGINEERING,2021,0,22,0.0
703,1449,COMPUTER SCIENCE AND ENGINEERING,2021,10,45,0.2222
704,1449,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,2,45,0.0444
705,1449,MECHANICAL ENGINEERING,2021,0,45,0.0
706,1450,COMPUTER SCIENCE AND ENGINEERING,2021,20,21,0.9524
707,1450,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,21,22,0.9545
708,1450,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,22,22,1.0
709,1450,INFORMATION TECHNOLOGY,2021,23,23,1.0
710,1450,MECHANICAL ENGINEERING,2021,42,44,0.9545
711,1452,CIVIL ENGINEERING,2021,8,15,0.5333
712,1452,COMPUTER SCIENCE AND ENGINEERING,2021,56,58,0.9655
713,1452,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,11,18,0.6111
714,1452,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,36,38,0.9474
715,1452,MECHANICAL ENGINEERING,2021,15,26,0.5769
716,1501,CIVIL ENGINEERING,2021,2,36,0.0556
717,1501,COMPUTER SCIENCE AND ENGINEERING,2021,33,37,0.8919
718,1501,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,13,36,0.3611
719,1501,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,21,36,0.5833
720,1501,INFORMATION TECHNOLOGY,2021,15,18,0.8333
721,1501,MECHANICAL ENGINEERING,2021,10,36,0.2778
722,1503,BIO TECHNOLOGY,2021,5,27,0.1852
723,1503,CHEMICAL ENGINEERING,2021,2,16,0.125
724,1503,CIVIL ENGINEERING,2021,1,16,0.0625
725,1503,COMPUTER SCIENCE AND ENGINEERING,2021,11,25,0.44
726,1503,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,0,17,0.0
727,1503,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,0,33,0.0
728,1503,INFORMATION TECHNOLOGY,2021,5,6,0.8333
729,1503,INSTRUMENTATION AND CONTROL ENGINEERING,2021,0,7,0.0
730,1503,MECHANICAL ENGINEERING,2021,3,52,0.0577
731,1504,BIO TECHNOLOGY,2021,24,28,0.8571
732,1504,CHEMICAL ENGINEERING,2021,14,29,0.4828
733,1504,CIVIL ENGINEERING,2021,12,28,0.4286
734,1504,COMPUTER SCIENCE AND ENGINEERING,2021,53,57,0.9298
735,1504,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,24,28,0.8571
736,1504,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,27,30,0.9
737,1504,INFORMATION TECHNOLOGY,2021,28,28,1.0
738,1504,MECHANICAL ENGINEERING,2021,21,29,0.7241
739,1505,CIVIL ENGINEERING,2021,6,22,0.2727
740,1505,COMPUTER SCIENCE AND ENGINEERING,2021,37,43,0.8605
741,1505,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,9,12,0.75
742,1505,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,15,22,0.6818
743,1505,INFORMATION TECHNOLOGY,2021,20,22,0.9091
744,1505,MECHANICAL ENGINEERING,2021,4,23,0.1739
745,1507,COMPUTER SCIENCE AND ENGINEERING,2021,17,18,0.9444
746,1507,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,3,19,0.1579
747,1507,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,6,19,0.3158
748,1507,INFORMATION TECHNOLOGY,2021,14,17,0.8235
749,1507,MECHANICAL ENGINEERING,2021,2,17,0.1176
750,1509,CIVIL ENGINEERING,2021,4,33,0.1212
751,1509,COMPUTER SCIENCE AND ENGINEERING,2021,42,44,0.9545
752,1509,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,18,35,0.5143
753,1509,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,56,65,0.8615
754,1509,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,12,33,0.3636
755,1509,INFORMATION TECHNOLOGY,2021,41,44,0.9318
756,1509,MECHANICAL ENGINEERING,2021,11,66,0.1667
757,1510,CIVIL ENGINEERING,2021,12,40,0.3
758,1510,COMPUTER SCIENCE AND ENGINEERING,2021,50,57,0.8772
759,1510,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,14,37,0.3784
760,1510,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,23,81,0.284
761,1510,MECHANICAL ENGINEERING,2021,9,79,0.1139
762,1511,CIVIL ENGINEERING,2021,1,22,0.0455
763,1511,COMPUTER SCIENCE AND ENGINEERING,2021,1,21,0.0476
764,1511,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,0,29,0.0
765,1511,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,0,27,0.0
766,1511,MECHANICAL ENGINEERING,2021,1,44,0.0227
767,1512,CIVIL ENGINEERING,2021,0,37,0.0
768,1512,COMPUTER SCIENCE AND ENGINEERING,2021,34,82,0.4146
769,1512,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,3,41,0.0732
770,1512,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,5,82,0.061
771,1512,INFORMATION TECHNOLOGY,2021,16,41,0.3902
772,1512,MECHANICAL ENGINEERING,2021,2,83,0.0241
773,1512,ROBOTICS AND AUTOMATION,2021,0,41,0.0
774,1513,CIVIL ENGINEERING,2021,3,37,0.0811
775,1513,COMPUTER SCIENCE AND ENGINEERING,2021,23,39,0.5897
776,1513,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,7,36,0.1944
777,1513,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,4,38,0.1053
778,1513,INFORMATION TECHNOLOGY,2021,25,36,0.6944
779,1513,MECHANICAL ENGINEERING,2021,4,36,0.1111
780,1516,CIVIL ENGINEERING,2021,45,45,1.0
781,1516,COMPUTER SCIENCE AND ENGINEERING,2021,44,44,1.0
782,1516,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,45,46,0.9783
783,1516,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,88,88,1.0
784,1516,MECHANICAL ENGINEERING,2021,90,90,1.0
785,1517,CIVIL ENGINEERING,2021,1,14,0.0714
786,1517,COMPUTER SCIENCE AND ENGINEERING,2021,11,57,0.193
787,1517,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,4,15,0.2667
788,1517,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,0,29,0.0
789,1517,INFORMATION TECHNOLOGY,2021,11,15,0.7333
