nirf_id,financial_year,total_projects,total_funding_agencies,total_amount_received
IR-E-U-0439,2023-24,95,43,224404428
IR-E-U-0439,2022-23,0,0,0
IR-E-U-0439,2021-22,0,0,0
IR-E-I-1030,2022-23,0,0,0
IR-E-I-1030,2021-22,0,0,0
IR-E-I-1030,2020-21,0,0,0
IR-E-C-16532,2023-24,14,14,20463257
IR-E-C-16532,2022-23,0,0,0
IR-E-C-16532,2021-22,0,0,0
IR-E-C-16622,2023-24,0,0,0
IR-E-C-16622,2022-23,0,0,0
IR-E-C-16622,2021-22,0,0,0
IR-E-C-36995,2023-24,22,17,15002754
IR-E-C-36995,2022-23,0,0,0
IR-E-C-36995,2021-22,0,0,0
IR-E-C-16591,2023-24,2,1,14900
IR-E-C-16591,2022-23,0,0,0
IR-E-C-16591,2021-22,0,0,0
IR-E-C-16477,2023-24,24,2,355000
IR-E-C-16477,2022-23,0,0,0
IR-E-C-16477,2021-22,0,0,0
IR-E-C-16482,2022-23,0,0,0
IR-E-C-16482,2021-22,0,0,0
IR-E-C-16482,2020-21,0,0,0
IR-E-C-16487,2023-24,6,3,242500
IR-E-C-16487,2022-23,0,0,0
IR-E-C-16487,2021-22,0,0,0
IR-E-C-16506,2023-24,0,0,0
IR-E-C-16506,2022-23,0,0,0
IR-E-C-16506,2021-22,0,0,0
IR-E-C-16551,2023-24,0,0,0
IR-E-C-16551,2022-23,0,0,0
IR-E-C-16551,2021-22,0,0,0
IR-E-C-16527,2023-24,5,4,297500
IR-E-C-16527,2022-23,0,0,0
IR-E-C-16527,2021-22,0,0,0
IR-E-C-48283,2023-24,0,0,0
IR-E-C-48283,2022-23,0,0,0
IR-E-C-48283,2021-22,0,0,0
IR-E-C-16473,2022-23,0,0,0
IR-E-C-16473,2021-22,0,0,0
IR-E-C-16473,2020-21,0,0,0
IR-E-C-16614,2023-24,24,14,19376034
IR-E-C-16614,2022-23,0,0,0
IR-E-C-16614,2021-22,0,0,0
IR-E-C-1377,2023-24,13,4,4120196
IR-E-C-1377,2022-23,0,0,0
IR-E-C-1377,2021-22,0,0,0
IR-E-C-16523,2023-24,1,1,6000
IR-E-C-16523,2022-23,0,0,0
IR-E-C-16523,2021-22,0,0,0
IR-E-C-36975,2023-24,3,2,7500000
IR-E-C-36975,2022-23,0,0,0
IR-E-C-36975,2021-22,0,0,0
IR-E-C-36954,2023-24,253,10,5077500
IR-E-C-36954,2022-23,0,0,0
IR-E-C-36954,2021-22,0,0,0
IR-E-C-16463,2023-24,15,15,8861611
IR-E-C-16463,2022-23,0,0,0
IR-E-C-16463,2021-22,0,0,0
IR-E-C-45295,2022-23,4,3,1776520
IR-E-C-45295,2021-22,0,0,0
IR-E-C-45295,2020-21,0,0,0
IR-E-C-45287,2023-24,22,15,42697255
IR-E-C-45287,2022-23,0,0,0
IR-E-C-45287,2021-22,0,0,0
IR-E-C-49130,2023-24,0,0,0
IR-E-C-49130,2022-23,0,0,0
IR-E-C-49130,2021-22,0,0,0
IR-E-C-45288,2023-24,1,1,7500
IR-E-C-45288,2022-23,0,0,0
IR-E-C-45288,2021-22,0,0,0
IR-E-C-45299,2023-24,1,1,249000
IR-E-C-45299,2022-23,0,0,0
IR-E-C-45299,2021-22,0,0,0
IR-E-C-16548,2023-24,1,1,7500
IR-E-C-16548,2022-23,0,0,0
IR-E-C-16548,2021-22,0,0,0
IR-E-C-48266,2023-24,3,3,452700
IR-E-C-48266,2022-23,0,0,0
IR-E-C-48266,2021-22,0,0,0
IR-E-C-49129,2023-24,3,1,850000
IR-E-C-49129,2022-23,0,0,0
IR-E-C-49129,2021-22,0,0,0
IR-E-C-49133,2023-24,7,1,70000
IR-E-C-49133,2022-23,0,0,0
IR-E-C-49133,2021-22,0,0,0
IR-E-C-50605,2023-24,8,4,3693213
IR-E-C-50605,2022-23,0,0,0
IR-E-C-50605,2021-22,0,0,0
IR-E-C-16504,2023-24,3,2,7910244
IR-E-C-16504,2022-23,4,2,17290000
IR-E-C-16504,2021-22,0,0,0
IR-E-C-37003,2020-21,0,0,0
IR-E-C-37003,2019-20,0,0,0
