nirf_id,program_level,program_duration,academic_year,sanctioned_intake
IR-E-C-37001,UG,4 Years,2023-24,360
IR-E-C-37001,UG,4 Years,2022-23,300
IR-E-C-37001,UG,4 Years,2021-22,330
IR-E-C-37001,UG,4 Years,2020-21,330
IR-E-C-37001,PG,2 Years,2023-24,84
IR-E-C-37001,PG,2 Years,2022-23,84
IR-E-C-25020,UG,4 Years,2023-24,330
IR-E-C-25020,UG,4 Years,2022-23,300
IR-E-C-25020,UG,4 Years,2021-22,300
IR-E-C-25020,UG,4 Years,2020-21,270
IR-E-C-25020,PG,2 Years,2023-24,96
IR-E-C-25020,PG,2 Years,2022-23,36
IR-E-C-25014,UG,4 Years,2023-24,330
IR-E-C-25014,UG,4 Years,2022-23,330
IR-E-C-25014,UG,4 Years,2021-22,330
IR-E-C-25014,UG,4 Years,2020-21,330
IR-E-C-25014,PG,2 Years,2023-24,18
IR-E-C-25014,PG,2 Years,2022-23,18
IR-E-C-24999,UG,4 Years,2022-23,300
IR-E-C-24999,UG,4 Years,2021-22,300
IR-E-C-24999,UG,4 Years,2020-21,300
IR-E-C-24999,UG,4 Years,2019-20,300
IR-E-C-49138,UG,4 Years,2023-24,240
IR-E-C-49138,UG,4 Years,2022-23,240
IR-E-C-49138,UG,4 Years,2021-22,190
IR-E-C-49138,UG,4 Years,2020-21,246
IR-E-C-49141,UG,4 Years,2024-25,300
IR-E-C-49141,UG,4 Years,2023-24,300
IR-E-C-49141,UG,4 Years,2022-23,300
IR-E-C-49141,UG,4 Years,2021-22,300
IR-E-C-49142,UG,4 Years,2023-24,251
IR-E-C-49142,UG,4 Years,2022-23,262
IR-E-C-49142,UG,4 Years,2021-22,249
IR-E-C-49142,UG,4 Years,2020-21,235
IR-E-C-25054,UG,4 Years,2022-23,600
IR-E-C-25054,UG,4 Years,2021-22,540
IR-E-C-25054,UG,4 Years,2020-21,480
IR-E-C-25054,UG,4 Years,2019-20,480
IR-E-C-25054,PG,2 Years,2022-23,24
IR-E-C-25054,PG,2 Years,2021-22,24
IR-E-C-25002,UG,4 Years,2023-24,360
IR-E-C-25002,UG,4 Years,2022-23,300
IR-E-C-25002,UG,4 Years,2021-22,300
IR-E-C-25002,UG,4 Years,2020-21,300
IR-E-C-25002,PG,2 Years,2023-24,96
IR-E-C-25002,PG,2 Years,2022-23,96
IR-E-C-25016,UG,4 Years,2023-24,270
IR-E-C-25016,UG,4 Years,2022-23,270
IR-E-C-25016,UG,4 Years,2021-22,270
