nirf_id,program_level,male_students,female_students,total_students,within_state,outside_state,outside_country,economically_backward,socially_challenged,full_fee_reimbursement
IR-E-C-37022,UG [4 Years Program(s)],0,2112,2112,2083,29,0,970,1142,369
IR-E-C-37022,PG [2 Year Program(s)],0,43,43,43,0,0,1,42,15
IR-E-C-36944,UG [4 Years Program(s)],2557,1692,4249,3180,1068,1,1042,1497,614
IR-E-C-36944,PG [2 Year Program(s)],3,16,19,19,0,0,12,7,11
IR-E-C-37074,UG [4 Years Program(s)],1142,537,1679,1677,2,0,0,1663,607
IR-E-C-37074,PG [2 Year Program(s)],0,3,3,3,0,0,0,3,0
IR-E-C-37068,UG [4 Years Program(s)],774,446,1220,1220,0,0,1220,0,572
IR-E-C-37068,PG [2 Year Program(s)],24,13,37,37,0,0,0,0,0
IR-E-C-37000,UG [4 Years Program(s)],3160,1243,4403,4283,120,0,91,4302,1209
IR-E-C-37000,PG [2 Year Program(s)],20,9,29,29,0,0,7,22,5
IR-E-C-37006,UG [4 Years Program(s)],571,339,910,910,0,0,501,409,160
IR-E-C-37006,PG [2 Year Program(s)],94,52,146,146,0,0,127,19,0
IR-E-C-37004,UG [4 Years Program(s)],1788,447,2393,2235,158,0,1762,631,631
IR-E-C-37004,PG [2 Year Program(s)],12,7,19,19,0,0,6,13,13
IR-E-C-36930,UG [4 Years Program(s)],2967,897,3864,2987,832,45,1832,1001,1158
IR-E-C-36930,PG [2 Year Program(s)],436,172,608,551,57,0,160,107,128
IR-E-C-36930,PG-Integrated,51,24,75,57,18,0,25,25,5
IR-E-C-36970,UG [4 Years Program(s)],959,668,1627,1624,3,0,1364,248,464
IR-E-C-36970,PG [2 Year Program(s)],130,112,242,240,2,0,124,118,112
IR-E-C-37026,UG [4 Years Program(s)],664,381,1045,1041,4,0,21,1024,56
IR-E-C-37026,PG [2 Year Program(s)],0,1,1,1,0,0,0,0,0
IR-E-C-37061,UG [4 Years Program(s)],802,510,1312,1282,30,0,414,898,276
IR-E-C-37061,PG [2 Year Program(s)],40,49,89,62,27,0,11,78,13
IR-E-C-37076,UG [4 Years Program(s)],0,851,851,851,0,0,572,279,335
IR-E-C-37076,PG [2 Year Program(s)],0,24,24,24,0,0,7,17,17
IR-E-C-37029,UG [4 Years Program(s)],667,304,971,971,0,0,3,968,471
IR-E-C-37029,PG [2 Year Program(s)],36,73,109,109,0,0,2,107,50
IR-E-C-36941,UG [4 Years Program(s)],512,253,765,756,9,0,483,282,308
IR-E-C-36951,UG [4 Years Program(s)],740,145,885,854,31,0,23,862,149
IR-E-C-36951,PG [2 Year Program(s)],3,6,9,9,0,0,0,9,4
IR-E-C-37058,UG [4 Years Program(s)],1864,867,2731,2731,0,0,152,351,238
IR-E-C-37058,PG [2 Year Program(s)],180,161,341,339,2,0,23,66,23
IR-E-C-37104,UG [4 Years Program(s)],638,288,926,903,23,0,641,0,174
IR-E-C-37104,PG [2 Year Program(s)],63,73,136,136,0,0,5,1,5
IR-E-C-37022,UG [4 Years Program(s)],0,2112,2112,2083,29,0,970,1142,369
IR-E-C-37022,PG [2 Year Program(s)],0,43,43,43,0,0,1,42,15
IR-E-C-36956,UG [4 Years Program(s)],762,213,975,956,19,0,598,252,0
IR-E-C-36956,PG [2 Year Program(s)],0,1,1,1,0,0,0,1,0
IR-E-C-16580,UG [4 Years Program(s)],591,254,845,836,9,0,33,812,411
IR-E-C-37016,UG [4 Years Program(s)],494,206,700,683,17,0,388,10,398
IR-E-C-37016,PG [2 Year Program(s)],27,19,46,46,0,0,20,0,20
IR-E-C-37099,UG [4 Years Program(s)],2239,1236,3475,3227,247,1,1053,1730,779
IR-E-C-37099,PG [2 Year Program(s)],158,60,218,200,18,0,22,69,69
IR-E-C-37099,PG-Integrated,56,99,155,155,0,0,32,28,28
IR-E-C-37063,UG [4 Years Program(s)],3691,1583,5274,4219,1055,0,1660,3614,1728
IR-E-C-37063,PG [2 Year Program(s)],71,54,125,121,4,0,81,44,0
IR-E-C-36974,UG [4 Years Program(s)],1034,488,1522,1522,0,0,460,974,430
IR-E-C-36974,PG [2 Year Program(s)],5,4,9,9,0,0,2,6,4
IR-E-C-37065,UG [4 Years Program(s)],4532,2539,7071,6971,100,0,123,6460,804
IR-E-C-37065,PG [2 Year Program(s)],22,35,57,56,1,0,1,53,5
IR-E-C-36926,UG [4 Years Program(s)],3862,1820,5682,5586,90,6,3074,1837,664
IR-E-C-36926,PG [2 Year Program(s)],174,135,309,297,11,1,163,99,6
IR-E-C-36958,UG [4 Years Program(s)],2107,926,3033,3013,20,0,1230,1772,373
IR-E-C-36958,PG [2 Year Program(s)],21,15,36,36,0,0,18,18,10
IR-E-C-37015,UG [4 Years Program(s)],608,270,878,861,15,2,163,442,89
IR-E-C-37015,PG [2 Year Program(s)],33,18,51,48,3,0,47,4,9
IR-E-C-36995,UG [4 Years Program(s)],3957,1414,5371,5031,332,8,1853,3187,672
IR-E-C-36995,UG [5 Years Program(s)],173,85,258,254,4,0,39,198,22
IR-E-C-36995,PG [2 Year Program(s)],22,28,50,35,15,0,14,31,1
IR-E-C-37089,UG [4 Years Program(s)],2913,1325,4238,4168,44,26,1545,2415,463
IR-E-C-37089,PG [2 Year Program(s)],7,12,19,18,0,1,4,14,1
IR-E-C-37089,PG-Integrated,93,85,178,178,0,0,53,55,23
IR-E-C-37094,UG [4 Years Program(s)],1598,1683,3281,3278,3,0,2877,250,309
IR-E-C-37094,PG [2 Year Program(s)],7,34,41,41,0,0,38,2,1
IR-E-C-37032,UG [4 Years Program(s)],999,380,1379,1366,11,2,94,1145,123
IR-E-C-37032,PG [2 Year Program(s)],14,7,21,21,0,0,0,21,6
IR-E-C-36947,UG [4 Years Program(s)],2311,1605,3916,3448,468,0,587,2232,722
IR-E-C-36947,PG [2 Year Program(s)],14,22,36,33,3,0,5,24,7
IR-E-C-37080,UG [4 Years Program(s)],2558,1248,3806,3004,801,1,1213,2593,676
IR-E-C-37080,PG [2 Year Program(s)],55,22,77,59,18,0,7,70,1
IR-E-C-36938,UG [4 Years Program(s)],840,224,1064,1026,38,0,524,0,305
IR-E-C-36938,PG [2 Year Program(s)],48,4,52,46,6,0,9,0,7
IR-E-C-37031,UG [4 Years Program(s)],202,79,281,281,0,0,0,270,63
IR-E-C-37031,PG [2 Year Program(s)],35,10,45,45,0,0,0,41,3
IR-E-C-37036,UG [4 Years Program(s)],1673,1099,2772,2264,493,15,554,2218,832
IR-E-C-37036,PG [2 Year Program(s)],16,8,24,22,2,0,12,6,4
IR-E-C-37035,UG [4 Years Program(s)],1397,434,1831,1813,18,0,62,1685,222
IR-E-C-36929,UG [4 Years Program(s)],1555,997,2552,2525,27,0,106,2446,229
IR-E-C-36929,PG [2 Year Program(s)],6,9,15,15,0,0,15,0,0
IR-E-C-37057,UG [4 Years Program(s)],2056,1168,3224,3020,183,21,367,1309,545
IR-E-C-37057,PG [2 Year Program(s)],14,10,24,23,1,0,2,21,0
IR-E-C-37041,UG [4 Years Program(s)],1036,613,1649,1617,32,0,55,1594,366
IR-E-C-37041,PG [2 Year Program(s)],0,2,2,2,0,0,0,2,0
IR-E-C-37087,UG [4 Years Program(s)],874,657,1531,1523,8,0,1121,410,410
IR-E-C-37087,PG [2 Year Program(s)],36,4,40,29,11,0,34,6,6
IR-E-C-37087,PG [2 Year Program(s)],57,42,99,99,0,0,75,24,24
IR-E-C-37087,UG [4 Years Program(s)],874,657,1531,1523,8,0,1121,410,410
IR-E-C-37087,PG [2 Year Program(s)],93,46,139,128,11,0,109,30,30
IR-E-C-37070,UG [4 Years Program(s)],1701,1104,2805,2330,475,0,1077,1728,952
IR-E-C-37070,PG [2 Year Program(s)],54,45,99,94,5,0,58,41,39
IR-E-C-36989,UG [4 Years Program(s)],1297,816,2113,2090,23,0,519,373,169
IR-E-C-36989,PG [2 Year Program(s)],2,12,14,14,0,0,4,4,4
IR-E-C-37038,UG [4 Years Program(s)],660,376,1036,1032,4,0,661,233,77
IR-E-C-37038,PG [2 Year Program(s)],0,5,5,5,0,0,0,5,0
IR-E-C-16511,UG [4 Years Program(s)],429,273,702,697,5,0,2,683,182
IR-E-C-16511,PG [2 Year Program(s)],6,6,12,12,0,0,0,10,2
IR-E-C-37043,UG [4 Years Program(s)],472,228,700,679,21,0,29,671,184
IR-E-C-37043,PG [2 Year Program(s)],4,1,5,4,1,0,4,1,1
IR-E-C-37090,UG [4 Years Program(s)],655,288,943,819,124,0,112,456,323
IR-E-C-37051,UG [4 Years Program(s)],439,215,654,652,2,0,303,351,286
IR-E-C-37051,PG [2 Year Program(s)],69,49,118,116,2,0,57,61,57
IR-E-C-37021,UG [4 Years Program(s)],754,400,1154,704,450,0,282,121,77
IR-E-C-36985,UG [4 Years Program(s)],661,264,925,793,132,0,793,0,58
IR-E-C-36985,PG [2 Year Program(s)],19,13,32,30,2,0,28,0,2
IR-E-C-36999,UG [4 Years Program(s)],2702,1465,4167,3827,155,185,525,1652,116
IR-E-C-36999,PG [2 Year Program(s)],53,33,86,86,0,0,35,40,12
IR-E-C-37055,UG [4 Years Program(s)],1296,288,1584,1070,514,0,0,509,209
IR-E-C-37055,PG [2 Year Program(s)],18,10,28,13,15,0,0,2,0
IR-E-C-16614,UG [4 Years Program(s)],2113,1307,3420,2729,671,20,2265,839,660
IR-E-C-16614,PG [2 Year Program(s)],0,3,3,2,1,0,0,2,0
IR-E-C-37001,UG [4 Years Program(s)],911,266,1177,1126,51,0,0,850,438
IR-E-C-37001,PG [2 Year Program(s)],57,20,77,44,33,0,0,38,10
IR-E-C-25020,UG [4 Years Program(s)],628,336,964,964,0,0,964,0,61
IR-E-C-25020,PG [2 Year Program(s)],29,94,123,123,0,0,123,0,5
IR-E-C-25020,UG [4 Years Program(s)],628,336,964,964,0,0,964,0,61
IR-E-C-25020,PG [2 Year Program(s)],29,94,123,123,0,0,123,0,5
IR-E-C-25014,UG [4 Years Program(s)],837,398,1235,1201,34,0,473,762,288
IR-E-C-25014,PG [2 Year Program(s)],3,10,13,13,0,0,10,3,10
IR-E-C-24999,UG [4 Years Program(s)],502,296,798,798,0,0,12,221,132
IR-E-C-49138,UG [4 Years Program(s)],371,156,527,527,0,0,120,348,140
IR-E-C-49141,UG [4 Years Program(s)],698,396,1094,1094,0,0,0,1085,178
IR-E-C-49142,UG [4 Years Program(s)],651,444,1095,1095,0,0,14,1081,369
